,PRODUCT_ID,SELLER_ID,STD_PRICE,MEAN_PRICE,VAR_PRICE,MIN_PRICE,MAX_PRICE,COUNT_ORDER,COUNT_VAR_PRICE
181,657491063e8a63247a108a4d9cedf020,7040e82f899a04d1b434b795a43b4617,4.47,97.9,20.0,89.9,99.9,5,2
182,a388f2043ca885de714453e4fac616e2,596849622429351f47b32e6cae1055ff,0.0,24.9,0.0,24.9,24.9,2,1
183,4c6018f41a6c2e5543cc034e94f5ce5b,be9a160a9011f627c3e121d076c1ec7b,,739.0,,739.0,739.0,1,1
184,a85543a371d5cfafedb80a8177a692b5,138dbe45fc62f1e244378131a6801526,,16.9,,16.9,16.9,1,1
185,6b017e0d95d8765a6f2bed3bc272c61e,a6fe7de3d16f6149ffe280349a8535a0,0.0,59.9,0.0,59.9,59.9,3,1
186,6d14f72afff32795290f2df6507f063c,f262cbc1c910c83959f849465454ddd3,,104.97,,104.97,104.97,1,1
187,75b433ca888fe027b18dfac89a284667,8b321bb669392f5163d04c59e235e066,0.0,12.9,0.0,12.9,12.9,6,1
188,9aa70106d14b83c7ad033592870b2b30,0be8ff43f22e456b4e0371b2245e4d01,,47.9,,47.9,47.9,1,1
189,42fe4aefc7e8a45dd96a59af81dd3fef,710e3548e02bc1d2831dfc4f1b5b14d4,,109.9,,109.9,109.9,1,1
190,a04cf12934a318be6550b1aeab938bf2,048c2757535328e0d7dac690ad3c0aae,,365.0,,365.0,365.0,1,1
191,224703229a7c966a5b191651e1561be2,d7485b33791774c36108f8c69602d48d,,47.92,,47.92,47.92,1,1
192,43724b27731595d954e911f443fb1cc4,9803a40e82e45418ab7fb84091af5231,0.0,159.75,0.0,159.75,159.75,2,1
193,b29ca3d3127057c43ef4b364bbe360ea,5c243662ce92d84573bfaff24c3e3700,0.0,249.99,0.0,249.99,249.99,2,1
194,5e21d5cab5d33e770d8150a4ee6117db,6560211a19b47992c3666cc44a7e94c0,0.0,49.0,0.0,49.0,49.0,12,1
195,55610b8b7d48294e69fc23f513dfbe98,4e7c18b98d84e05cbae3ff0ff03846c2,0.0,15.0,0.0,15.0,15.0,3,1
196,68bfdbfe84f03af17733b10362f10020,827f8f69dfa529c561901c4f2e0f332f,,45.0,,45.0,45.0,1,1
197,5fb61f482620cb672f5e586bb132eae9,94e93ce877be27a515118dbfd2c2be41,,69.9,,69.9,69.9,1,1
198,a5bc1334f1762ce0a844f3f694dc08e1,1900267e848ceeba8fa32d80c1a5f5a8,,69.99,,69.99,69.99,1,1
199,701ff123e9085dcc9c2f833efded6374,ff1fb4c404b2efe68b03350a8dc24122,8.66,390.0,75.0,380.0,395.0,3,2
200,73b499a2f5002c0a2158a478cc5a096c,9baf5cb77970f539089d09a38bcec5c3,0.0,139.99,0.0,139.99,139.99,2,1
201,42f14eda412436b96cde4f4025ed5f25,a17f621c590ea0fab3d5d883e1630ec6,0.0,93.33,0.0,93.33,93.33,3,1
202,47969dd948e918289f809be899ddfb4c,014d9a685fd57276679edd00e07089e5,0.31,44.12,0.1,43.99,44.75,6,2
203,446295cf6f689d4db477145815362608,6cd68b3ed6d59aaa9fece558ad360c0a,,75.5,,75.5,75.5,1,1
204,280c05c66173c2b377f3e449e33abc6d,ba5daa4041e1f15cdf34b76e3e18a450,,79.9,,79.9,79.9,1,1
205,4a96de21ccfb22ebe1c56992acbbd7fc,7a241947449cc45dbfda4f9d0798d9d0,13.49,108.0,182.02,99.0,129.0,8,4
206,c45a1de8cdb00af9ba1f3c097561b77a,2528513dd95219a6013d4d05176e391a,0.0,59.0,0.0,59.0,59.0,2,1
207,1b37262ebd1307a6c9aab9aca8584e76,6061155addc1e54b4cfb51c1c2a32ad8,115.97,817.0,13448.0,735.0,899.0,2,2
208,04869307f7e7dc5b07f1d83406ade1e5,5f2684dab12e59f83bef73ae57724e45,,139.9,,139.9,139.9,1,1
209,8bb6ace4cf2411747ea1cfecad5a458d,1d8dbc4f32378d715c717c1c1fc57bae,,110.0,,110.0,110.0,1,1
210,21db47f6493b06e8e7fc562ec9890e77,bba74270a87732727b5a3b4fd9ac1c39,,79.99,,79.99,79.99,1,1
