,seller_id,count_orders,count_products,sum_price_orders,count_orders_delivered,count_review_score_5,count_review_score_4,count_review_score_3,count_review_score_2,count_review_score_1,count_early_delivery,count_late_delivery
2346,bf0d50a6410d487dc97d2baac0a8c0be,1,1,27.9,0,0,0,0,1,0,0,1
2347,51e4e89242cbb846c2deff3dc015650e,16,16,822.58,16,12,2,2,0,0,16,0
2348,86ccac0b835037332a596a33b6949ee1,180,210,16619.93,178,110,37,11,5,19,172,8
2349,c97aa4ee7420f937da13b7f9e2228b99,1,1,29.9,1,0,0,0,0,1,1,0
2350,aac51c486b672a9850d59f3e84b1cf88,10,13,728.28,10,8,2,0,0,0,10,0
2351,3340ef1913fb70d28420f6ceb685c339,32,42,6731.15,32,22,4,4,0,2,28,4
2352,76de363de16dacc923eec8daf91df504,2,2,360.0,2,0,1,0,0,1,2,0
2353,58b98ccb79873e04eac4357cacc590d9,1,1,23.0,0,0,0,0,0,1,0,1
2354,fc99f99385ae90f66f01733856fb88c9,1,1,89.9,0,0,0,0,0,1,0,1
2355,b74d1c09cb380e1d03a6f859c6f4224b,31,39,2221.6,30,18,8,2,1,2,26,5
2356,1bb2bdb95f4841f1bba2c0d2cd83d3c9,81,85,5002.71,79,64,12,3,0,3,73,8
2357,670c26e0f1bf8d0576271d5cfaec6d2b,78,87,6341.6,77,50,13,8,0,7,73,5
2358,c32fc744b9160ac853450488e3cfea93,3,3,185.7,2,1,0,0,0,2,2,1
2359,59de1d4c8c057c2a53acd4ca66531af2,1,1,135.0,1,1,0,0,0,0,1,0
2360,e64882b4ef12aee8d0faca4db5b681f4,1,2,230.0,1,0,1,0,0,0,1,0
2361,1b65c144b17e607c0f37f10bb7dfec8d,5,5,1109.5,5,0,1,1,0,3,5,0
2362,15ac3c501e2599e4917316fde5c5669a,1,1,144.2,0,0,0,0,0,1,0,1
2363,f4aba7c0bca51484c30ab7bdc34bcdd1,110,117,3009.79,108,51,28,13,8,10,100,10
2364,e0878efa0e0b7e5313ac0b43bc04c081,27,29,5065.3,26,11,7,2,2,6,21,6
2365,03a2a6dcbe45d639c4dc2a0d24769c40,9,9,1078.41,9,5,2,1,0,1,8,1
2366,327b89b872c14d1c0be7235ef4871685,3,3,1177.0,3,1,0,0,0,2,1,2
2367,e9d99831abad74458942f21e16f33f92,130,149,4922.48,130,66,27,16,3,18,114,16
2368,a45765f8afb1e594b22bf9e974b46765,1,1,79.99,1,0,1,0,0,0,1,0
2369,dc8798cbf453b7e0f98745e396cc5616,41,51,2056.3,35,14,7,4,2,15,33,8
